"fecha","nombre_provincia_indec","tipo_vehiculo","cantidad"
"2023-08-01",Buenos Aires,auto,11333
"2023-09-01",Buenos Aires,auto,9968
"2023-10-01",Buenos Aires,auto,12272
"2023-11-01",Buenos Aires,auto,9990
"2023-12-01",Buenos Aires,auto,5572
"2014-01-01",Buenos Aires,moto,21452
"2014-02-01",Buenos Aires,moto,10639
"2014-03-01",Buenos Aires,moto,9163
"2014-04-01",Buenos Aires,moto,9128
"2014-05-01",Buenos Aires,moto,8520
"2014-06-01",Buenos Aires,moto,7512
"2014-07-01",Buenos Aires,moto,9777
"2014-08-01",Buenos Aires,moto,10693
"2014-09-01",Buenos Aires,moto,12324
"2014-10-01",Buenos Aires,moto,11948
"2014-11-01",Buenos Aires,moto,9128
"2014-12-01",Buenos Aires,moto,8899
"2015-01-01",Buenos Aires,moto,12791
"2015-02-01",Buenos Aires,moto,10370
"2015-03-01",Buenos Aires,moto,12440
"2015-04-01",Buenos Aires,moto,11791
"2015-05-01",Buenos Aires,moto,9239
"2015-06-01",Buenos Aires,moto,9194
"2015-07-01",Buenos Aires,moto,10101
"2015-08-01",Buenos Aires,moto,9772
"2015-09-01",Buenos Aires,moto,12659
"2015-10-01",Buenos Aires,moto,12173
"2015-11-01",Buenos Aires,moto,12301
"2015-12-01",Buenos Aires,moto,10559
"2016-01-01",Buenos Aires,moto,11902
"2016-02-01",Buenos Aires,moto,10167
"2016-03-01",Buenos Aires,moto,12040
"2016-04-01",Buenos Aires,moto,9965
"2016-05-01",Buenos Aires,moto,9245
"2016-06-01",Buenos Aires,moto,7512
"2016-07-01",Buenos Aires,moto,9350
"2016-08-01",Buenos Aires,moto,12166
"2016-09-01",Buenos Aires,moto,12597
"2016-10-01",Buenos Aires,moto,12492
"2016-11-01",Buenos Aires,moto,14091
"2016-12-01",Buenos Aires,moto,13761
"2017-01-01",Buenos Aires,moto,20183
"2017-02-01",Buenos Aires,moto,14968
"2017-03-01",Buenos Aires,moto,18784
"2017-04-01",Buenos Aires,moto,13748
"2017-05-01",Buenos Aires,moto,13847
"2017-06-01",Buenos Aires,moto,11390
"2017-07-01",Buenos Aires,moto,12992
"2017-08-01",Buenos Aires,moto,15480
"2017-09-01",Buenos Aires,moto,16024
"2017-10-01",Buenos Aires,moto,18259
"2017-11-01",Buenos Aires,moto,18332
"2017-12-01",Buenos Aires,moto,15103
"2018-01-01",Buenos Aires,moto,22292
"2018-02-01",Buenos Aires,moto,16669
"2018-03-01",Buenos Aires,moto,19160
"2018-04-01",Buenos Aires,moto,15435
"2018-05-01",Buenos Aires,moto,12888
"2018-06-01",Buenos Aires,moto,8799
"2018-07-01",Buenos Aires,moto,9773
"2018-08-01",Buenos Aires,moto,10109
"2018-09-01",Buenos Aires,moto,9666
"2018-10-01",Buenos Aires,moto,10279
"2018-11-01",Buenos Aires,moto,8397
"2018-12-01",Buenos Aires,moto,7171
"2019-01-01",Buenos Aires,moto,12112
"2019-02-01",Buenos Aires,moto,9182
"2019-03-01",Buenos Aires,moto,8824
"2019-04-01",Buenos Aires,moto,7667
"2019-05-01",Buenos Aires,moto,6493
"2019-06-01",Buenos Aires,moto,5327
"2019-07-01",Buenos Aires,moto,8910
"2019-08-01",Buenos Aires,moto,7767
"2019-09-01",Buenos Aires,moto,5262
"2019-10-01",Buenos Aires,moto,6872
"2019-11-01",Buenos Aires,moto,5464
"2019-12-01",Buenos Aires,moto,5040
"2020-01-01",Buenos Aires,moto,7973
"2020-02-01",Buenos Aires,moto,6374
"2020-03-01",Buenos Aires,moto,5448
"2020-04-01",Buenos Aires,moto,1175
"2020-05-01",Buenos Aires,moto,4651
"2020-06-01",Buenos Aires,moto,6231
"2020-07-01",Buenos Aires,moto,6177
"2020-08-01",Buenos Aires,moto,7400
"2020-09-01",Buenos Aires,moto,8342
"2020-10-01",Buenos Aires,moto,8515
"2020-11-01",Buenos Aires,moto,7209
"2020-12-01",Buenos Aires,moto,6254
"2021-01-01",Buenos Aires,moto,8929
"2021-02-01",Buenos Aires,moto,7630
"2021-03-01",Buenos Aires,moto,10402
"2021-04-01",Buenos Aires,moto,8785
"2021-05-01",Buenos Aires,moto,6192
"2021-06-01",Buenos Aires,moto,9127
"2021-07-01",Buenos Aires,moto,9945
"2021-08-01",Buenos Aires,moto,10807
"2021-09-01",Buenos Aires,moto,12563
"2021-10-01",Buenos Aires,moto,11288
"2021-11-01",Buenos Aires,moto,11408
"2021-12-01",Buenos Aires,moto,9629
"2022-01-01",Buenos Aires,moto,11454
"2022-02-01",Buenos Aires,moto,11219
"2022-03-01",Buenos Aires,moto,14179
"2022-04-01",Buenos Aires,moto,13071
"2022-05-01",Buenos Aires,moto,13038
"2022-06-01",Buenos Aires,moto,11232
"2022-07-01",Buenos Aires,moto,11284
"2022-08-01",Buenos Aires,moto,11108
"2022-09-01",Buenos Aires,moto,11263
"2022-10-01",Buenos Aires,moto,10840
"2022-11-01",Buenos Aires,moto,11880
"2022-12-01",Buenos Aires,moto,10003
"2023-01-01",Buenos Aires,moto,15350
"2023-02-01",Buenos Aires,moto,12584
"2023-03-01",Buenos Aires,moto,16141
"2023-04-01",Buenos Aires,moto,13095
"2023-05-01",Buenos Aires,moto,12490
"2023-06-01",Buenos Aires,moto,10677
"2023-07-01",Buenos Aires,moto,12577
"2023-08-01",Buenos Aires,moto,13779
"2023-09-01",Buenos Aires,moto,11926
"2023-10-01",Buenos Aires,moto,14820
"2023-11-01",Buenos Aires,moto,14545
"2023-12-01",Buenos Aires,moto,11192
"2024-01-01",Buenos Aires,auto,10237
"2024-01-01",Buenos Aires,moto,12350
"2024-02-01",Buenos Aires,moto,11438
"2024-02-01",Buenos Aires,auto,7366
"2024-03-01",Buenos Aires,moto,9786
"2024-03-01",Buenos Aires,auto,7204
"2024-04-01",Buenos Aires,moto,13029
"2024-04-01",Buenos Aires,auto,9572
"2024-05-01",Buenos Aires,auto,9722
"2024-05-01",Buenos Aires,moto,12476
"2024-06-01",Buenos Aires,moto,11165
"2024-06-01",Buenos Aires,auto,8841
"2024-07-01",Buenos Aires,auto,12297
"2024-07-01",Buenos Aires,moto,13284
"2024-08-01",Buenos Aires,moto,18740
"2024-08-01",Buenos Aires,auto,11810
"2024-09-01",Buenos Aires,moto,13478
"2024-09-01",Buenos Aires,auto,11954
"2014-01-01",Catamarca,auto,1036
"2014-02-01",Catamarca,auto,426
"2014-03-01",Catamarca,auto,429
"2014-04-01",Catamarca,auto,414
"2014-05-01",Catamarca,auto,498
"2014-06-01",Catamarca,auto,451
"2014-07-01",Catamarca,auto,535
"2014-08-01",Catamarca,auto,477
"2014-09-01",Catamarca,auto,517
"2014-10-01",Catamarca,auto,439
"2014-11-01",Catamarca,auto,287
"2014-12-01",Catamarca,auto,224
"2015-01-01",Catamarca,auto,631
"2015-02-01",Catamarca,auto,394
"2015-03-01",Catamarca,auto,386
"2015-04-01",Catamarca,auto,469
"2015-05-01",Catamarca,auto,410
"2015-06-01",Catamarca,auto,527
"2015-07-01",Catamarca,auto,531
"2015-08-01",Catamarca,auto,485
"2015-09-01",Catamarca,auto,566
"2015-10-01",Catamarca,auto,583
"2015-11-01",Catamarca,auto,415
"2015-12-01",Catamarca,auto,234
"2016-01-01",Catamarca,auto,535
"2016-02-01",Catamarca,auto,464
"2016-03-01",Catamarca,auto,536
"2016-04-01",Catamarca,auto,500
"2016-05-01",Catamarca,auto,577
"2016-06-01",Catamarca,auto,476
"2016-07-01",Catamarca,auto,504
"2016-08-01",Catamarca,auto,643
"2016-09-01",Catamarca,auto,546
"2016-10-01",Catamarca,auto,506
"2016-11-01",Catamarca,auto,423
"2016-12-01",Catamarca,auto,320
"2017-01-01",Catamarca,auto,856
"2017-02-01",Catamarca,auto,476
"2017-03-01",Catamarca,auto,648
"2017-04-01",Catamarca,auto,526
"2017-05-01",Catamarca,auto,682
"2017-06-01",Catamarca,auto,611
"2017-07-01",Catamarca,auto,711
"2017-08-01",Catamarca,auto,736
"2017-09-01",Catamarca,auto,717
"2017-10-01",Catamarca,auto,646
"2017-11-01",Catamarca,auto,586
"2017-12-01",Catamarca,auto,336
"2018-01-01",Catamarca,auto,1111
"2018-02-01",Catamarca,auto,655
"2018-03-01",Catamarca,auto,714
"2018-04-01",Catamarca,auto,745
"2018-05-01",Catamarca,auto,685
"2018-06-01",Catamarca,auto,590
"2018-07-01",Catamarca,auto,638
"2018-08-01",Catamarca,auto,625
"2018-09-01",Catamarca,auto,424
"2018-10-01",Catamarca,auto,473
"2018-11-01",Catamarca,auto,324
"2018-12-01",Catamarca,auto,216
"2019-01-01",Catamarca,auto,477
"2019-02-01",Catamarca,auto,323
"2019-03-01",Catamarca,auto,326
"2019-04-01",Catamarca,auto,309
"2019-05-01",Catamarca,auto,305
"2019-06-01",Catamarca,auto,304
"2019-07-01",Catamarca,auto,361
"2019-08-01",Catamarca,auto,338
"2019-09-01",Catamarca,auto,289
"2019-10-01",Catamarca,auto,242
"2019-11-01",Catamarca,auto,218
"2019-12-01",Catamarca,auto,123
"2020-01-01",Catamarca,auto,357
"2020-02-01",Catamarca,auto,241
"2020-03-01",Catamarca,auto,121
"2020-04-01",Catamarca,auto,63
"2020-05-01",Catamarca,auto,216
"2020-06-01",Catamarca,auto,290
"2020-07-01",Catamarca,auto,265
"2020-08-01",Catamarca,auto,265
"2020-09-01",Catamarca,auto,262
"2020-10-01",Catamarca,auto,286
"2020-11-01",Catamarca,auto,266
"2020-12-01",Catamarca,auto,123
"2021-01-01",Catamarca,auto,395
"2021-02-01",Catamarca,auto,214
"2021-03-01",Catamarca,auto,290
"2021-04-01",Catamarca,auto,284
"2021-05-01",Catamarca,auto,165
"2021-06-01",Catamarca,auto,323
"2021-07-01",Catamarca,auto,264
"2021-08-01",Catamarca,auto,269
"2021-09-01",Catamarca,auto,229
"2021-10-01",Catamarca,auto,198
"2021-11-01",Catamarca,auto,198
"2021-12-01",Catamarca,auto,105
"2022-01-01",Catamarca,auto,348
"2022-02-01",Catamarca,auto,243
"2022-03-01",Catamarca,auto,292
"2022-04-01",Catamarca,auto,275
"2022-05-01",Catamarca,auto,274
"2022-06-01",Catamarca,auto,286
"2022-07-01",Catamarca,auto,341
"2022-08-01",Catamarca,auto,332
"2022-09-01",Catamarca,auto,303
"2022-10-01",Catamarca,auto,232
"2022-11-01",Catamarca,auto,235
"2022-12-01",Catamarca,auto,159
"2023-01-01",Catamarca,auto,391
"2023-02-01",Catamarca,auto,235
"2023-03-01",Catamarca,auto,339
"2023-04-01",Catamarca,auto,310
"2023-05-01",Catamarca,auto,334
"2023-06-01",Catamarca,auto,369
"2023-07-01",Catamarca,auto,412
"2023-08-01",Catamarca,auto,311
"2023-09-01",Catamarca,auto,289
"2023-10-01",Catamarca,auto,347
"2023-11-01",Catamarca,auto,299
"2023-12-01",Catamarca,auto,136
"2014-01-01",Catamarca,moto,981
"2014-02-01",Catamarca,moto,582
"2014-03-01",Catamarca,moto,522
"2014-04-01",Catamarca,moto,439
"2014-05-01",Catamarca,moto,654
